JobTitle,Department,QualificationRequired,ExamRequired,Salary
State Public Service Commission,Administration,PhD,SSC Exam,84000
Forest Services Officer,Administration,Master's Degree,State PSC Exam,74000
Bank Probationary Officer,Administration,PhD,Bank PO Exam,72000
Indian Police Service,Administration,PhD,Forest Services Exam,102000
Bank Probationary Officer,Administration,PhD,Tax Inspector Exam,85000
Railway Officer,Administration,Bachelor's Degree,Tax Inspector Exam,95000
Indian Police Service,Administration,Bachelor's Degree,Forest Services Exam,100000
Indian Administrative Service,Administration,PhD,Forest Services Exam,94000
Bank Probationary Officer,Administration,Bachelor's Degree,Forest Services Exam,70000
Bank Probationary Officer,Administration,Master's Degree,SSC Exam,62000
Indian Police Service,Administration,Master's Degree,Bank PO Exam,108000
Civil Services,Administration,PhD,UPSC Exam,108000
Indian Police Service,Administration,PhD,State PSC Exam,88000
Civil Services,Administration,Master's Degree,Civil Services Exam,93000
Forest Services Officer,Administration,Bachelor's Degree,Education Services Exam,70000
Public Health Officer,Administration,Bachelor's Degree,Education Services Exam,75000
Tax Inspector,Administration,Master's Degree,Civil Services Exam,65000
Tax Inspector,Administration,Bachelor's Degree,Civil Services Exam,83000
Public Health Officer,Administration,Master's Degree,UPSC Exam,82000
Tax Inspector,Administration,Bachelor's Degree,Civil Services Exam,81000
Indian Administrative Service,Administration,Bachelor's Degree,Education Services Exam,108000
Civil Services,Administration,Master's Degree,Public Health Officer Exam,100000
Railway Officer,Administration,Master's Degree,Education Services Exam,87000
State Public Service Commission,Administration,PhD,Bank PO Exam,88000
Forest Services Officer,Administration,Bachelor's Degree,Education Services Exam,76000
Tax Inspector,Administration,Master's Degree,Education Services Exam,71000
State Public Service Commission,Administration,Master's Degree,SSC Exam,91000
Tax Inspector,Administration,Master's Degree,Bank PO Exam,80000
Indian Police Service,Administration,PhD,Bank PO Exam,111000
Railway Officer,Administration,Bachelor's Degree,Public Health Officer Exam,69000
Indian Administrative Service,Administration,Bachelor's Degree,Civil Services Exam,116000
Civil Services,Administration,Bachelor's Degree,UPSC Exam,98000
Public Health Officer,Administration,PhD,Civil Services Exam,85000
Tax Inspector,Administration,PhD,Forest Services Exam,77000
Forest Services Officer,Administration,Bachelor's Degree,Public Health Officer Exam,89000
Forest Services Officer,Administration,PhD,Bank PO Exam,83000
Indian Administrative Service,Administration,Master's Degree,Tax Inspector Exam,99000
Forest Services Officer,Administration,Master's Degree,Bank PO Exam,95000
State Public Service Commission,Administration,PhD,Tax Inspector Exam,80000
Tax Inspector,Administration,Master's Degree,Tax Inspector Exam,81000
Indian Police Service,Administration,Master's Degree,SSC Exam,103000
Indian Administrative Service,Administration,PhD,Civil Services Exam,91000
Indian Administrative Service,Administration,Bachelor's Degree,Civil Services Exam,119000
State Public Service Commission,Administration,PhD,Bank PO Exam,86000
